transcript_id,company_ticker,filing_date,n_pairs
000004392019000022,GEF,2019-03-01,16
000004392019000036,GEF,2019-06-11,21
000004392019000043,GEF,2019-07-02,10
000004392019000049,GEF,2019-09-03,19
000004392019000059,GEF,2019-12-10,13
000004392020000023,GEF,2020-03-02,13
000004392020000050,GEF,2020-06-08,18
000004392020000064,GEF,2020-09-01,22
000004392020000069,GEF,2020-12-14,19
000004392021000022,GEF,2021-02-26,12
000004392021000041,GEF,2021-06-11,16
000004392021000061,GEF,2021-09-03,15
000007660519000024,PATK,2019-02-19,12
000007660519000065,PATK,2019-04-29,14
000007660519000106,PATK,2019-07-29,14
000007660519000127,PATK,2019-10-30,19
000007660520000041,PATK,2020-02-19,18
000007660520000069,PATK,2020-05-05,15
000072695820000069,CASY,2020-06-10,27
000072695820000120,CASY,2020-09-14,23
000072695820000135,CASY,2020-12-10,4
000076374419000011,LCII,2019-02-08,14
000076374419000036,LCII,2019-05-08,19
000076374419000077,LCII,2019-08-07,9
000076374419000111,LCII,2019-11-06,12
000076374419000127,LCII,2019-11-25,19
000076883519000036,BIG,2019-06-03,19
000076883519000069,BIG,2019-09-04,16
000080770719000004,VOXX,2019-01-15,9
000088356920000056,FOSL,2020-11-12,3
000089222219000091,BREW,2019-09-10,15
000095017022012711,VOXX,2022-07-15,5
000095017022019596,VOXX,2022-10-17,8
000095017023023203,VOXX,2023-05-19,7
000095017023032943,VOXX,2023-07-14,4
000095017023053265,VOXX,2023-10-13,4
000101884019000013,ANF,2019-03-07,11
000102891819000099,PPBI,2019-07-26,10
000102891819000120,PPBI,2019-10-25,7
000102891820000007,PPBI,2020-01-28,7
000102891820000027,PPBI,2020-02-07,11
000102891820000128,PPBI,2020-05-05,10
000102891820000151,PPBI,2020-07-31,11
000102891821000008,PPBI,2021-01-29,12
000102891821000126,PPBI,2021-04-30,9
000102891822000008,PPBI,2022-01-25,9
000102891822000125,PPBI,2022-04-29,12
000102891822000139,PPBI,2022-07-25,3
000102891822000156,PPBI,2022-10-24,3
000110465920034085,FPI,2020-03-16,16
000110465921138071,AXDX,2021-11-12,5
000110465922087979,SPXC,2022-08-09,10
000110465922127184,LPTV,2022-12-15,3
000111080320000009,ILMN,2020-01-16,5
000114420419023240,STXB,2019-05-02,11
000117152019000141,PLYM,2019-03-12,8
000117152019000191,PLYM,2019-05-13,4
000117152019000261,PLYM,2019-08-12,6
000117152020000219,PLYM,2020-05-12,8
000117152021000115,PLYM,2021-03-02,11
000117152021000195,PLYM,2021-05-10,9
000117152021000496,PLYM,2021-11-09,5
000117152022000175,PLYM,2022-02-28,8
000117152022000453,PLYM,2022-08-05,8
000117152023000126,PLYM,2023-02-28,11
000117152023000164,PLYM,2023-05-08,5
000117152023000356,PLYM,2023-11-06,11
000117494719000249,RGR,2019-02-22,18
000117494719000951,RGR,2019-08-02,23
000117494719001169,RGR,2019-11-12,28
000117494720000202,RGR,2020-02-21,5
000117494720000651,RGR,2020-05-08,10
000117494720000861,RGR,2020-07-31,6
000117494720001053,RGR,2020-10-30,17
000117494721000173,RGR,2021-02-19,12
000117494721000525,RGR,2021-05-07,10
000117494721000759,RGR,2021-08-06,8
000117494721000998,RGR,2021-11-05,10
000117494722000276,RGR,2022-02-25,9
000117494722000635,RGR,2022-05-06,6
000117494722000929,RGR,2022-08-05,8
000117494722001168,RGR,2022-11-04,9
000117494723000254,RGR,2023-02-24,10
000117494723000719,RGR,2023-05-05,4
000117494723001307,RGR,2023-11-03,10
000119312519030872,PINC,2019-02-07,16
000119312519129563,FCN,2019-04-30,8
000119312519164402,SAFM,2019-06-04,16
000119312519191305,ACIA,2019-07-09,12
000119312519205560,FCN,2019-07-29,6
000119312519276266,FCN,2019-10-28,9
000119312519280519,MSTR,2019-10-31,5
000119312519289172,DXC,2019-11-12,13
000119312519322971,SAFM,2019-12-26,26
000119312520008077,RTIX,2020-01-15,6
000119312520026792,PINC,2020-02-06,12
000119312520050183,FCN,2020-02-26,8
000119312520132471,FCN,2020-05-04,7
000119312520137569,PINC,2020-05-08,17
000119312520173159,SWBI,2020-06-19,13
000119312520206640,FCN,2020-07-31,11
000119312520216485,MYO,2020-08-11,8
000119312520233144,PINC,2020-08-27,11
000119312520284027,FCN,2020-11-02,5
000119312521028930,PINC,2021-02-04,22
000119312521060435,WATT,2021-02-26,3
000119312521063655,FCN,2021-03-01,9
000119312521110422,VISN,2021-04-09,9
000119312521148110,FCN,2021-05-03,11
000119312521151739,PINC,2021-05-05,15
000119312521233379,FCN,2021-08-02,12
000119312521315535,FCN,2021-11-01,7
000119312521320168,PINC,2021-11-04,18
000119312521329914,WATT,2021-11-15,3
000119312522025719,PINC,2022-02-02,17
000119312522136919,FCN,2022-05-02,5
000119312522188617,SYRS,2022-07-06,3
000119312522206637,FCN,2022-07-29,5
000119312522249298,TALO,2022-09-22,10
000119312522277160,TALO,2022-11-04,7
000119312523050926,FCN,2023-02-27,9
000119312523130596,FCN,2023-05-01,8
000119312523199197,FCN,2023-07-31,9
000119312523202937,STAA,2023-08-03,20
000119312523266240,FCN,2023-10-30,8
000121390019014056,SBFG,2019-07-31,7
000121390019021916,SBFG,2019-11-04,9
000121390021025298,SBFG,2021-05-10,13
000121390021060097,LGMK,2021-11-16,5
000130577320000031,CFMS,2020-03-05,11
000143774919021287,IPHI,2019-11-01,19
000148705219000006,LTXB,2019-01-25,11
000155837021015796,MRAM,2021-11-12,13
000156459019000322,FLXN,2019-01-07,18
000156459019003289,CBZ,2019-02-19,8
000156459019006435,TDW,2019-03-06,7
000156459019014794,CBZ,2019-05-01,7
000156459019028159,CBZ,2019-08-02,8
000156459019039301,CBZ,2019-11-01,12
000156459020003494,NBIX,2020-02-05,14
000156459020006236,CBZ,2020-02-25,7
000156459021008650,STAA,2021-02-25,4
000156459021036822,VOXX,2021-07-16,3
000156459022001281,VOXX,2022-01-14,5
000156459022020831,VOXX,2022-05-20,6
000156459023002247,STAA,2023-02-23,13
000162828021023214,AFIB,2021-11-12,10
