,mean_evasion_score,evasion_variance,max_evasion_score,car_3day,revenue_growth,gross_margin,operating_margin,roa,lm_positive,lm_negative,lm_uncertainty,lm_litigious
mean_evasion_score,1.0,0.302537659757206,0.7049074306652672,-0.02969323598490296,0.016287997939001136,0.45336036111960926,0.06727233418765254,-0.09621554784861033,-0.0415157141100065,0.04979799992516079,-0.16744431844318725,0.019387595838586374
evasion_variance,0.302537659757206,1.0,0.6349291129354866,0.04722970923109784,0.00464482434639822,0.1915138066685869,0.06401347830217101,0.004923503923016541,-0.03592040990652375,-0.025030963310716685,0.015692058366807773,0.1087881067111309
max_evasion_score,0.7049074306652672,0.6349291129354866,1.0,0.008139589779517184,-0.03281847748597687,0.26284582925659217,0.20654302252579548,0.10410788848161012,-0.014593379468207338,-0.033187856114842304,-0.0829443113076427,0.03559797179548151
car_3day,-0.02969323598490296,0.04722970923109784,0.008139589779517184,1.0,-0.0804559820864578,-0.02286343233370865,-0.023495206988667836,-0.04713196644466459,0.014655664533755598,-0.015234669971664774,-0.08092950984471467,0.010819589371202787
revenue_growth,0.016287997939001136,0.00464482434639822,-0.03281847748597687,-0.0804559820864578,1.0,0.06432519538987684,0.1160052867229655,-0.08699769926266432,-0.03808127989418002,-0.07705723003124498,0.05421002832572505,-0.02421721471812044
gross_margin,0.45336036111960926,0.1915138066685869,0.26284582925659217,-0.02286343233370865,0.06432519538987684,1.0,-0.09360151274296406,0.05145234994690084,-0.16419484734798637,-0.2561422307170902,-0.4292893113722432,0.1446502382378364
operating_margin,0.06727233418765254,0.06401347830217101,0.20654302252579548,-0.023495206988667836,0.1160052867229655,-0.09360151274296406,1.0,0.6231324543862932,-0.08654963940703655,-0.1676546201278694,0.058873352095893665,0.07612051928559634
roa,-0.09621554784861033,0.004923503923016541,0.10410788848161012,-0.04713196644466459,-0.08699769926266432,0.05145234994690084,0.6231324543862932,1.0,0.003275102009508502,-0.2658662024793857,-0.0350335947429159,0.11709200914535793
lm_positive,-0.0415157141100065,-0.03592040990652375,-0.014593379468207338,0.014655664533755598,-0.03808127989418002,-0.16419484734798637,-0.08654963940703655,0.003275102009508502,1.0,0.08857788447416214,0.192503150993687,-0.21830062507767914
lm_negative,0.04979799992516079,-0.025030963310716685,-0.033187856114842304,-0.015234669971664774,-0.07705723003124498,-0.2561422307170902,-0.1676546201278694,-0.2658662024793857,0.08857788447416214,1.0,0.2429661121133354,0.005794459651518661
lm_uncertainty,-0.16744431844318725,0.015692058366807773,-0.0829443113076427,-0.08092950984471467,0.05421002832572505,-0.4292893113722432,0.058873352095893665,-0.0350335947429159,0.192503150993687,0.2429661121133354,1.0,-0.11637651840012644
lm_litigious,0.019387595838586374,0.1087881067111309,0.03559797179548151,0.010819589371202787,-0.02421721471812044,0.1446502382378364,0.07612051928559634,0.11709200914535793,-0.21830062507767914,0.005794459651518661,-0.11637651840012644,1.0
