target,predictor,pearson_r,pearson_p,spearman_rho,spearman_p,kappa_unweighted,kappa_quadratic
human1,LLM judge (claude-sonnet-4-6),0.7767463337875969,2.613724548587249e-16,0.7281012993330607,1.3450629727946232e-13,0.27184466019417475,0.44802207911683534
human1,LM uncertainty proportion (raw),0.18312103054557197,0.11581891232937946,0.13154837501386774,0.2605869884564993,,
human1,LM weak_modal proportion (raw),0.18382958296803106,0.11439149898521847,0.20009259281197797,0.0852143830438642,,
human1,LM negative proportion (raw),0.1462965406533283,0.21041088836036542,0.16515367540595063,0.1567771746280107,,
human1,LM litigious proportion (raw),-0.04057185428966097,0.7296407509181647,-0.07922486149642116,0.4992649434991179,,
human1,response length (word count),0.030232192801371807,0.7968083892903923,0.059986169945620164,0.6091894448599633,,
human1,"LM hedging model, fitted (LOO-CV)",0.03154987718849805,0.7881546397857048,-0.11857138700792706,0.31096895658410845,-0.015303119482048322,0.011156186612576002
human1,"LM all-6-category model, fitted (LOO-CV)",-0.1688600968869568,0.14755224035273765,-0.19570144954083762,0.09243875108117262,-0.037463976945244726,1.1102230246251565e-16
human1,"LM all-6 + length, fitted (LOO-CV)",-0.20169699282780507,0.08268915744495846,-0.2207242943305214,0.057045121733693006,-0.037463976945244726,1.1102230246251565e-16
human2,LLM judge (claude-sonnet-4-6),0.8029832790001317,4.508264066270579e-18,0.782815087891954,1.0745026812025354e-16,0.4501832722425858,0.6094563632576546
human2,LM uncertainty proportion (raw),0.25655594850476793,0.026293257038528806,0.11326899735679268,0.33325367908033243,,
human2,LM weak_modal proportion (raw),0.22606258932098028,0.051151889276837614,0.1196736043214585,0.30646039414576914,,
human2,LM negative proportion (raw),0.11301283493899186,0.3343552153501699,0.1341427908949173,0.2512191373659973,,
human2,LM litigious proportion (raw),0.1400015840560413,0.23091868539563964,0.10414236324054386,0.3739105565781179,,
human2,response length (word count),-0.03984729730231506,0.7342884597251685,0.01878837266909929,0.8728863773401403,,
human2,"LM hedging model, fitted (LOO-CV)",0.061745715406091875,0.5987111836683254,-0.1220085541193297,0.29705022156433036,-0.1307767944936089,0.08343868520859676
human2,"LM all-6-category model, fitted (LOO-CV)",0.0600559237178577,0.6087725372179851,0.0009015579126448984,0.993875034025602,-0.09187965059851178,0.042960442364951
human2,"LM all-6 + length, fitted (LOO-CV)",0.0420618271172526,0.7201139142692443,-0.00014541256655562878,0.9990120930075601,-0.15052732502396937,-0.024844720496894235
human_mean,LLM judge (claude-sonnet-4-6),0.886258058204984,4.1706806107097553e-26,0.856762577515248,1.095283815861422e-22,0.4483530540454108,0.594785059901339
human_mean,LM uncertainty proportion (raw),0.2521680279344396,0.029068050019609982,0.12077130472308405,0.3020126807985144,,
human_mean,LM weak_modal proportion (raw),0.2329039356618515,0.044338667439412414,0.17191302474024442,0.14026395938459763,,
human_mean,LM negative proportion (raw),0.14235063546554985,0.2231091419774291,0.1501852687570018,0.19840621303296763,,
human_mean,LM litigious proportion (raw),0.07066484722333528,0.5468741717109701,0.01950732946215777,0.868065093755104,,
human_mean,response length (word count),-0.011210245854674922,0.9239526841155554,0.034391140277906455,0.7695831242327182,,
human_mean,"LM hedging model, fitted (LOO-CV)",0.07980041897493817,0.49614303545855465,-0.11399683032206863,0.330136422941965,-0.028921023359288256,0.03100775193798455
human_mean,"LM all-6-category model, fitted (LOO-CV)",-0.03202812969931533,0.785020030827436,-0.10538741858827984,0.368193798062286,-0.06093579978237207,0.03314917127071837
human_mean,"LM all-6 + length, fitted (LOO-CV)",-0.05390701563012752,0.6459889286461092,-0.1403055775711214,0.22989746564863373,-0.06093579978237207,0.03314917127071837
