transcript_id,company_ticker,reason
000102891819000099,PPBI,no usable XBRL quarterly data found for prior quarter
000102891819000120,PPBI,no usable XBRL quarterly data found for prior quarter
000102891820000007,PPBI,no usable XBRL quarterly data found for prior quarter
000102891820000027,PPBI,no usable XBRL quarterly data found for prior quarter
000102891820000128,PPBI,no usable XBRL quarterly data found for prior quarter
000102891820000151,PPBI,no usable XBRL quarterly data found for prior quarter
000102891821000008,PPBI,no usable XBRL quarterly data found for prior quarter
000102891821000126,PPBI,no usable XBRL quarterly data found for prior quarter
000102891822000008,PPBI,no usable XBRL quarterly data found for prior quarter
000102891822000125,PPBI,no usable XBRL quarterly data found for prior quarter
000102891822000139,PPBI,no usable XBRL quarterly data found for prior quarter
000102891822000156,PPBI,no usable XBRL quarterly data found for prior quarter
000114420419023240,STXB,no usable XBRL quarterly data found for prior quarter
000148705219000006,LTXB,no usable XBRL quarterly data found for prior quarter
000076883515000005,BIG,no usable XBRL quarterly data found for prior quarter
000076883515000028,BIG,no usable XBRL quarterly data found for prior quarter
000076883515000056,BIG,no usable XBRL quarterly data found for prior quarter
000076883515000068,BIG,no usable XBRL quarterly data found for prior quarter
000076883516000078,BIG,no usable XBRL quarterly data found for prior quarter
000076883516000144,BIG,no usable XBRL quarterly data found for prior quarter
000076883516000159,BIG,no usable XBRL quarterly data found for prior quarter
000076883517000005,BIG,no usable XBRL quarterly data found for prior quarter
000102891815000002,PPBI,no usable XBRL quarterly data found for prior quarter
000102891815000016,PPBI,no usable XBRL quarterly data found for prior quarter
000102891815000075,PPBI,no usable XBRL quarterly data found for prior quarter
000102891816000118,PPBI,no usable XBRL quarterly data found for prior quarter
000102891816000174,PPBI,no usable XBRL quarterly data found for prior quarter
000102891816000210,PPBI,no usable XBRL quarterly data found for prior quarter
000102891816000246,PPBI,no usable XBRL quarterly data found for prior quarter
000102891817000167,PPBI,no usable XBRL quarterly data found for prior quarter
000102891817000190,PPBI,no usable XBRL quarterly data found for prior quarter
000102891817000237,PPBI,no usable XBRL quarterly data found for prior quarter
000102891818000020,PPBI,no usable XBRL quarterly data found for prior quarter
000102891818000124,PPBI,no usable XBRL quarterly data found for prior quarter
000102891818000203,PPBI,no usable XBRL quarterly data found for prior quarter
000114420415025550,,no filing_index match or companyfacts fetch failed
000114420415061160,,no filing_index match or companyfacts fetch failed
000114420416076850,,no filing_index match or companyfacts fetch failed
000119312515283172,,no filing_index match or companyfacts fetch failed
000119312516481933,,no filing_index match or companyfacts fetch failed
000119312516758834,,no filing_index match or companyfacts fetch failed
000119312517013306,RNST,no usable XBRL quarterly data found for prior quarter
000119312517059377,SAFM,no usable XBRL quarterly data found for prior quarter
000119312517080368,,no filing_index match or companyfacts fetch failed
000119312517127170,,no filing_index match or companyfacts fetch failed
000119312517253540,,no filing_index match or companyfacts fetch failed
000119312517321362,,no filing_index match or companyfacts fetch failed
000119312517372306,,no filing_index match or companyfacts fetch failed
000119312518103213,RNST,no usable XBRL quarterly data found for prior quarter
000143774915014053,,no filing_index match or companyfacts fetch failed
000143774918013384,,no filing_index match or companyfacts fetch failed
000148705215000011,LTXB,no usable XBRL quarterly data found for prior quarter
000148705215000028,LTXB,no usable XBRL quarterly data found for prior quarter
000148705215000045,LTXB,no usable XBRL quarterly data found for prior quarter
000148705215000065,LTXB,no usable XBRL quarterly data found for prior quarter
000148705216000088,LTXB,no usable XBRL quarterly data found for prior quarter
000148705216000129,LTXB,no usable XBRL quarterly data found for prior quarter
000148705216000160,LTXB,no usable XBRL quarterly data found for prior quarter
000148705216000197,LTXB,no usable XBRL quarterly data found for prior quarter
000148705217000014,LTXB,no usable XBRL quarterly data found for prior quarter
000148705217000078,LTXB,no usable XBRL quarterly data found for prior quarter
000148705217000104,LTXB,no usable XBRL quarterly data found for prior quarter
000148705217000119,LTXB,no usable XBRL quarterly data found for prior quarter
000148705218000006,LTXB,no usable XBRL quarterly data found for prior quarter
000148705218000071,LTXB,no usable XBRL quarterly data found for prior quarter
000148705218000090,LTXB,no usable XBRL quarterly data found for prior quarter
000148705218000104,LTXB,no usable XBRL quarterly data found for prior quarter
000162828016015303,,no filing_index match or companyfacts fetch failed
000162828016018219,,no filing_index match or companyfacts fetch failed
