config,model_type,task,auroc,accuracy,precision,recall,f1,r_squared,rmse,n_train,n_test
A,LogisticRegression,classification,0.588235294117647,0.48148148148148145,0.4090909090909091,0.9,0.5625,,,64,27
A,XGBoost,classification,0.5794117647058824,0.5185185185185185,0.42857142857142855,0.9,0.5806451612903226,,,64,27
B,LogisticRegression,classification,0.6235294117647059,0.5185185185185185,0.42857142857142855,0.9,0.5806451612903226,,,64,27
B,XGBoost,classification,0.4470588235294118,0.4444444444444444,0.38095238095238093,0.8,0.5161290322580645,,,64,27
C,LogisticRegression,classification,0.6823529411764706,0.5925925925925926,0.47368421052631576,0.9,0.6206896551724138,,,64,27
C,XGBoost,classification,0.43529411764705883,0.4444444444444444,0.38095238095238093,0.8,0.5161290322580645,,,64,27
D,LogisticRegression,classification,0.6411764705882352,0.5925925925925926,0.47368421052631576,0.9,0.6206896551724138,,,64,27
D,XGBoost,classification,0.49411764705882355,0.4444444444444444,0.38095238095238093,0.8,0.5161290322580645,,,64,27
A,XGBoost,regression,,,,,,-0.5807995271375785,0.11754961198087005,64,27
B,XGBoost,regression,,,,,,-0.7355538262841081,0.1231691218069163,64,27
C,XGBoost,regression,,,,,,-0.8319574157269076,0.12654368826201295,64,27
D,XGBoost,regression,,,,,,-0.7974197220233943,0.1253451552414767,64,27
